# last updated on 2025.10.24; (outputs from silva-138-99-nb-classifier)
before	after	taxonomy_id_new
d__Archaea;__;__;__;__;__	d__Archaea;p__unclassified_Archaea;c__unclassified_Archaea;o__unclassified_Archaea;f__unclassified_Archaea;g__unclassified_Archaea	93506_cofg
d__Archaea;p__Aenigmarchaeota;__;__;__;__	d__Archaea;p__Candidatus_Aenigmatarchaeota;c__unclassified_Candidatus_Aenigmatarchaeota;o__unclassified_Candidatus_Aenigmatarchaeota;f__unclassified_Candidatus_Aenigmatarchaeota;g__unclassified_Candidatus_Aenigmatarchaeota	1046937_ofg
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	2172
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera	2316
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Haloferacaceae;g__Halovenus	d__Archaea;p__Methanobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halovenus	1377992
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Halomicrobiaceae;g__Halomarina	d__Archaea;p__Methanobacteriota;c__Halobacteria;o__Halobacteriales;f__Natronomonadaceae;g__Halomarina	871740
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Halomicrobiaceae;g__Halomicrobium	d__Archaea;p__Methanobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halomicrobium	203135
d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocorpusculum	d__Archaea;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocorpusculum	2192
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__Woesearchaeales;g__Woesearchaeales	d__Archaea;p__Candidatus_Woesearchaeota;c__unclassified_Candidatus_Woesearchaeota;o__unclassified_Candidatus_Woesearchaeota;f__unclassified_Candidatus_Woesearchaeota;g__unclassified_Candidatus_Woesearchaeota	3106621_ofg
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus	1080709
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;__	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__unclassified_Methanomethylophilaceae	3106794
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Candidatus_Methanogranum	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Candidatus_Methanogranum	1577789
